Size, Seq, Par, Libc
0, 0.000000, 0.000653, 0.000001
10000, 0.006120, 0.062079, 0.005100
20000, 0.011494, 0.098095, 0.010946
30000, 0.012692, 0.070970, 0.011688
40000, 0.013163, 0.086132, 0.007707
50000, 0.007690, 0.037764, 0.006961
60000, 0.008934, 0.029125, 0.008589
70000, 0.010508, 0.025859, 0.010215
80000, 0.034373, 0.024801, 0.011608
90000, 0.013790, 0.031598, 0.013284
100000, 0.038183, 0.034063, 0.014704
0, 0.000000, 0.000473, 0.000001
10000, 0.004157, 0.083904, 0.003821
20000, 0.008913, 0.076353, 0.008449
30000, 0.012658, 0.034163, 0.004267
40000, 0.006220, 0.029840, 0.005823
50000, 0.008076, 0.027522, 0.007680
60000, 0.009070, 0.029386, 0.008430
70000, 0.010686, 0.027642, 0.010060
80000, 0.012535, 0.022699, 0.011531
90000, 0.037958, 0.030887, 0.013013
100000, 0.038408, 0.031271, 0.014959
0, 0.000000, 0.000235, 0.000000
10000, 0.001250, 0.027952, 0.001174
20000, 0.002703, 0.028867, 0.002529
30000, 0.004152, 0.024998, 0.003950
40000, 0.005807, 0.022526, 0.005379
50000, 0.007377, 0.036294, 0.006977
60000, 0.023290, 0.035621, 0.008606
70000, 0.010548, 0.029316, 0.010067
80000, 0.012359, 0.035564, 0.011473
90000, 0.013761, 0.026543, 0.013394
100000, 0.038587, 0.030925, 0.014762
0, 0.000000, 0.000186, 0.000001
10000, 0.001258, 0.021428, 0.001176
20000, 0.002713, 0.028456, 0.002571
30000, 0.004312, 0.024112, 0.003943
40000, 0.005718, 0.025346, 0.005375
50000, 0.007559, 0.035553, 0.006872
60000, 0.009169, 0.032501, 0.008627
70000, 0.010544, 0.029046, 0.009974
80000, 0.012463, 0.037184, 0.011435
90000, 0.013550, 0.031352, 0.013116
100000, 0.015810, 0.034256, 0.014730
0, 0.000000, 0.000185, 0.000000
10000, 0.006155, 0.096115, 0.005226
20000, 0.011729, 0.115858, 0.009913
30000, 0.009681, 0.050594, 0.007678
40000, 0.010500, 0.052395, 0.009124
50000, 0.026398, 0.030902, 0.006881
60000, 0.009291, 0.022319, 0.008389
70000, 0.010647, 0.026845, 0.010159
80000, 0.033771, 0.028587, 0.011501
90000, 0.013692, 0.031868, 0.013021
100000, 0.040118, 0.033119, 0.014553
0, 0.000000, 0.000188, 0.000000
10000, 0.001276, 0.025027, 0.001172
20000, 0.002695, 0.023238, 0.002507
30000, 0.004113, 0.029441, 0.003932
40000, 0.006156, 0.023035, 0.005540
50000, 0.007619, 0.028745, 0.006856
60000, 0.008947, 0.029781, 0.008377
70000, 0.010752, 0.027102, 0.009978
80000, 0.012035, 0.027023, 0.011510
90000, 0.013564, 0.028885, 0.013293
100000, 0.015288, 0.042283, 0.014847
0, 0.000000, 0.000128, 0.000000
10000, 0.001273, 0.023464, 0.001170
20000, 0.002702, 0.019135, 0.002520
30000, 0.004647, 0.029741, 0.003938
40000, 0.005834, 0.024176, 0.005435
50000, 0.007447, 0.035823, 0.006870
60000, 0.021791, 0.035628, 0.008379
70000, 0.010715, 0.027041, 0.010004
80000, 0.012536, 0.031100, 0.011615
90000, 0.013595, 0.027066, 0.013249
100000, 0.016354, 0.031762, 0.014674
0, 0.000000, 0.000238, 0.000000
10000, 0.005455, 0.098706, 0.001831
20000, 0.004164, 0.045011, 0.004227
30000, 0.007094, 0.044218, 0.006326
40000, 0.009181, 0.038682, 0.008149
50000, 0.009670, 0.045377, 0.009177
60000, 0.010432, 0.032635, 0.010031
70000, 0.013058, 0.030089, 0.010489
80000, 0.013243, 0.031742, 0.011718
90000, 0.013593, 0.024326, 0.013244
100000, 0.016379, 0.030242, 0.014709
0, 0.000000, 0.000190, 0.000001
10000, 0.001250, 0.025578, 0.001187
20000, 0.002667, 0.028230, 0.002537
30000, 0.004302, 0.023603, 0.003933
40000, 0.005678, 0.031964, 0.005425
50000, 0.007525, 0.027350, 0.006861
60000, 0.008926, 0.019625, 0.008404
70000, 0.021543, 0.032311, 0.009944
80000, 0.012414, 0.032550, 0.011686
90000, 0.013796, 0.029847, 0.013224
100000, 0.015649, 0.031680, 0.014896
0, 0.000000, 0.000172, 0.000000
10000, 0.001242, 0.020700, 0.001216
20000, 0.002705, 0.034229, 0.002533
30000, 0.016347, 0.035474, 0.005381
40000, 0.007778, 0.038972, 0.007389
50000, 0.010177, 0.042191, 0.009413
60000, 0.011863, 0.026243, 0.010696
70000, 0.010977, 0.024725, 0.010293
80000, 0.012399, 0.034412, 0.011436
