Size, Seq, Par, Libc
0, 0.000000, 0.000778, 0.000001
0, 0.000000, 0.000219, 0.000001
0, 0.000001, 0.000195, 0.000001
0, 0.000000, 0.000174, 0.000001
0, 0.000000, 0.000146, 0.000001
10000, 0.001233, 0.018557, 0.001171
10000, 0.001233, 0.021288, 0.001171
10000, 0.001234, 0.019358, 0.001173
10000, 0.001263, 0.019476, 0.001174
10000, 0.001261, 0.019411, 0.001225
20000, 0.002946, 0.026386, 0.002518
20000, 0.002751, 0.026617, 0.002519
20000, 0.002661, 0.025881, 0.002522
20000, 0.002669, 0.028722, 0.002537
20000, 0.002671, 0.026847, 0.002527
30000, 0.004186, 0.023447, 0.003933
30000, 0.004194, 0.021879, 0.003931
30000, 0.004207, 0.025973, 0.003935
30000, 0.004205, 0.021964, 0.003961
30000, 0.019078, 0.069379, 0.006835
40000, 0.022504, 0.037238, 0.006355
40000, 0.005984, 0.025691, 0.005660
40000, 0.006134, 0.032121, 0.005681
40000, 0.023096, 0.036720, 0.005389
40000, 0.005935, 0.030292, 0.005383
50000, 0.007568, 0.030151, 0.006921
50000, 0.007331, 0.027784, 0.006867
50000, 0.026822, 0.036401, 0.006873
50000, 0.007457, 0.030194, 0.006863
50000, 0.007326, 0.033087, 0.006879
60000, 0.026144, 0.037193, 0.008495
60000, 0.008933, 0.040366, 0.008532
60000, 0.024948, 0.034810, 0.008400
60000, 0.009063, 0.033000, 0.008534
60000, 0.008957, 0.028535, 0.008397
70000, 0.010873, 0.029634, 0.010040
70000, 0.011095, 0.025869, 0.010076
70000, 0.010766, 0.027511, 0.010033
70000, 0.010778, 0.027099, 0.009955
70000, 0.010776, 0.028320, 0.009954
80000, 0.012297, 0.027371, 0.011440
80000, 0.012439, 0.030461, 0.011451
80000, 0.012025, 0.035144, 0.011824
80000, 0.012226, 0.033221, 0.011632
80000, 0.012298, 0.030948, 0.011635
90000, 0.013904, 0.028611, 0.013179
90000, 0.013872, 0.029487, 0.013121
90000, 0.035478, 0.030478, 0.013009
90000, 0.013800, 0.029561, 0.013043
90000, 0.014086, 0.027576, 0.013240
100000, 0.015434, 0.032029, 0.014662
100000, 0.015414, 0.026702, 0.014897
100000, 0.015376, 0.027503, 0.014606
100000, 0.015480, 0.029965, 0.014674
100000, 0.015275, 0.030451, 0.014693
