Size, Seq, Par, Libc
0, 0.000000, 0.000444, 0.000001
0, 0.000000, 0.000395, 0.000001
0, 0.000000, 0.000360, 0.000001
0, 0.000000, 0.000342, 0.000001
0, 0.000000, 0.000492, 0.000001
100000, 0.029637, 0.104974, 0.030264
100000, 0.033012, 0.090041, 0.026892
100000, 0.027846, 0.083350, 0.026589
100000, 0.027087, 0.096144, 0.027313
100000, 0.032806, 0.092768, 0.027115
200000, 0.054506, 0.098670, 0.053641
200000, 0.058858, 0.106973, 0.054568
200000, 0.053627, 0.112691, 0.053817
200000, 0.053750, 0.100019, 0.054137
200000, 0.053778, 0.109496, 0.061898
300000, 0.083126, 0.118885, 0.082129
300000, 0.082473, 0.114849, 0.081045
300000, 0.088099, 0.113469, 0.083176
300000, 0.082912, 0.116084, 0.088829
300000, 0.083195, 0.126575, 0.087662
400000, 0.119291, 0.131270, 0.112950
400000, 0.118346, 0.143614, 0.115026
400000, 0.113563, 0.130507, 0.114147
400000, 0.117003, 0.137563, 0.112482
400000, 0.113000, 0.135040, 0.117444
500000, 0.143531, 0.156859, 0.142807
500000, 0.150182, 0.157887, 0.143063
500000, 0.143490, 0.147643, 0.142995
500000, 0.148275, 0.161226, 0.143868
500000, 0.146125, 0.154350, 0.146790
600000, 0.181187, 0.175176, 0.171729
600000, 0.179084, 0.181708, 0.184904
600000, 0.178891, 0.177270, 0.174490
600000, 0.170022, 0.181242, 0.172676
600000, 0.174817, 0.178086, 0.174080
700000, 0.214590, 0.191494, 0.204563
700000, 0.202710, 0.198149, 0.204842
700000, 0.202359, 0.184699, 0.210353
700000, 0.200550, 0.190890, 0.211357
700000, 0.215226, 0.181113, 0.211813
800000, 0.235707, 0.227238, 0.234012
800000, 0.247001, 0.233387, 0.241256
800000, 0.238359, 0.218870, 0.233705
800000, 0.248402, 0.208166, 0.235915
800000, 0.236344, 0.215121, 0.234417
900000, 0.269583, 0.225303, 0.273729
900000, 0.280468, 0.225283, 0.266350
900000, 0.277251, 0.230937, 0.269730
900000, 0.273200, 0.231323, 0.271098
900000, 0.271165, 0.220817, 0.269474
1000000, 0.312047, 0.253187, 0.310361
1000000, 0.303844, 0.274356, 0.305704
1000000, 0.303550, 0.237859, 0.301688
1000000, 0.301539, 0.247727, 0.303257
1000000, 0.300837, 0.240542, 0.300506
